epoch,train_loss,val_miou,val_pixel_acc,lr
1,1.4288,0.6167,0.8782,1.00e-04
2,0.8755,0.6391,0.8922,9.40e-05
3,0.7388,0.6828,0.9160,8.79e-05
4,0.6734,0.6884,0.9160,8.18e-05
5,0.6139,0.7000,0.9229,7.56e-05
6,0.5925,0.7228,0.9340,6.94e-05
7,0.5423,0.7200,0.9317,6.31e-05
8,0.5202,0.7446,0.9411,5.68e-05
9,0.4939,0.7402,0.9378,5.04e-05
10,0.4853,0.7342,0.9386,4.38e-05
11,0.4747,0.7370,0.9392,3.72e-05
12,0.4540,0.7453,0.9410,3.04e-05
13,0.4478,0.7316,0.9361,2.35e-05
14,0.4348,0.7435,0.9410,1.63e-05
15,0.4323,0.7446,0.9409,8.74e-06
