epoch,train_loss,val_miou,val_pixel_acc,lr
1,3.3309,0.1712,0.4405,6.00e-04
2,2.0845,0.2290,0.5953,5.93e-04
3,1.4416,0.2855,0.7086,5.86e-04
4,1.1604,0.4187,0.8491,5.80e-04
5,0.9701,0.4072,0.8362,5.73e-04
6,0.8697,0.4467,0.8532,5.66e-04
7,0.8320,0.4882,0.8875,5.59e-04
8,0.7670,0.5201,0.9034,5.53e-04
9,0.7173,0.4857,0.8821,5.46e-04
10,0.7518,0.5186,0.9029,5.39e-04
11,0.6628,0.5499,0.9117,5.32e-04
12,0.6621,0.5705,0.9272,5.25e-04
13,0.6251,0.5841,0.9306,5.18e-04
14,0.5923,0.5930,0.9303,5.11e-04
15,0.5695,0.6019,0.9398,5.05e-04
16,0.5515,0.6068,0.9410,4.98e-04
17,0.5430,0.6243,0.9405,4.91e-04
18,0.5199,0.6240,0.9397,4.84e-04
19,0.5186,0.6335,0.9469,4.77e-04
20,0.4863,0.6430,0.9497,4.70e-04
21,0.4673,0.6544,0.9533,4.63e-04
22,0.4557,0.6729,0.9549,4.56e-04
23,0.4617,0.7022,0.9549,4.49e-04
24,0.4341,0.7160,0.9547,4.42e-04
25,0.4082,0.7364,0.9587,4.35e-04
26,0.3875,0.7399,0.9590,4.28e-04
27,0.3674,0.7420,0.9598,4.21e-04
28,0.3551,0.7484,0.9633,4.14e-04
29,0.3517,0.7486,0.9641,4.07e-04
30,0.3362,0.7537,0.9644,4.00e-04
31,0.3210,0.7623,0.9646,3.93e-04
32,0.3179,0.7755,0.9665,3.86e-04
33,0.3040,0.7790,0.9674,3.79e-04
34,0.3023,0.7831,0.9679,3.72e-04
35,0.2930,0.7784,0.9661,3.65e-04
36,0.2919,0.7825,0.9660,3.57e-04
37,0.3047,0.7912,0.9696,3.50e-04
38,0.2896,0.7852,0.9683,3.43e-04
39,0.2976,0.7913,0.9690,3.36e-04
40,0.2951,0.7948,0.9693,3.29e-04
41,0.2724,0.7801,0.9643,3.22e-04
42,0.2902,0.7861,0.9672,3.14e-04
43,0.2638,0.7918,0.9700,3.07e-04
44,0.2788,0.7983,0.9712,3.00e-04
45,0.2730,0.8029,0.9717,2.92e-04
46,0.2566,0.8074,0.9728,2.85e-04
47,0.2568,0.8069,0.9732,2.78e-04
48,0.2521,0.8070,0.9736,2.70e-04
49,0.2442,0.8103,0.9744,2.63e-04
50,0.2448,0.8110,0.9740,2.56e-04
51,0.2521,0.8123,0.9743,2.48e-04
52,0.2502,0.8149,0.9752,2.41e-04
53,0.2569,0.8129,0.9749,2.33e-04
54,0.2405,0.8115,0.9750,2.26e-04
55,0.2324,0.8148,0.9751,2.18e-04
56,0.2484,0.8178,0.9755,2.11e-04
57,0.2281,0.8197,0.9761,2.03e-04
58,0.2566,0.8191,0.9760,1.95e-04
59,0.2300,0.8190,0.9762,1.88e-04
60,0.2249,0.8219,0.9770,1.80e-04
61,0.2245,0.8200,0.9768,1.72e-04
62,0.2346,0.8159,0.9763,1.65e-04
63,0.2287,0.8185,0.9769,1.57e-04
64,0.2262,0.8228,0.9776,1.49e-04
65,0.2149,0.8254,0.9780,1.41e-04
66,0.2332,0.8251,0.9778,1.33e-04
67,0.2162,0.8255,0.9780,1.25e-04
68,0.2240,0.8260,0.9782,1.17e-04
69,0.2182,0.8263,0.9784,1.09e-04
70,0.2126,0.8266,0.9785,1.01e-04
71,0.2166,0.8268,0.9786,9.23e-05
72,0.2203,0.8282,0.9788,8.40e-05
73,0.2064,0.8289,0.9790,7.55e-05
74,0.2229,0.8293,0.9790,6.70e-05
75,0.2058,0.8293,0.9790,5.83e-05
76,0.2017,0.8297,0.9791,4.95e-05
77,0.2043,0.8300,0.9792,4.05e-05
78,0.2081,0.8304,0.9793,3.12e-05
79,0.2120,0.8304,0.9794,2.17e-05
80,0.2077,0.8305,0.9794,1.16e-05
