epoch,train_loss,val_miou,val_pixel_acc,lr
1,3.4534,0.0495,0.2130,1.00e-03
2,2.7659,0.0400,0.2252,9.89e-04
3,2.3392,0.0881,0.3583,9.77e-04
4,2.0559,0.1033,0.3113,9.66e-04
5,1.8401,0.1605,0.3873,9.55e-04
6,1.6818,0.2526,0.5625,9.44e-04
7,1.5501,0.3448,0.7473,9.32e-04
8,1.4370,0.3907,0.8309,9.21e-04
9,1.3275,0.4103,0.8579,9.10e-04
10,1.2628,0.4157,0.8649,8.98e-04
11,1.1791,0.4045,0.8455,8.87e-04
12,1.1161,0.3870,0.8249,8.75e-04
13,1.0718,0.4124,0.8606,8.64e-04
14,1.0277,0.4275,0.8724,8.52e-04
15,0.9982,0.4407,0.8847,8.41e-04
16,0.9524,0.4389,0.8875,8.30e-04
17,0.9227,0.4416,0.8911,8.18e-04
18,0.9088,0.4581,0.9046,8.07e-04
19,0.8781,0.4618,0.9102,7.95e-04
20,0.8666,0.4642,0.9130,7.83e-04
21,0.8522,0.4640,0.9140,7.72e-04
22,0.8215,0.4766,0.9250,7.60e-04
23,0.8052,0.4787,0.9251,7.49e-04
24,0.8107,0.4761,0.9220,7.37e-04
25,0.8223,0.4834,0.9297,7.25e-04
26,0.7778,0.4732,0.9235,7.14e-04
27,0.7929,0.4802,0.9287,7.02e-04
28,0.7737,0.4810,0.9241,6.90e-04
29,0.7838,0.4800,0.9208,6.79e-04
30,0.7583,0.4611,0.9047,6.67e-04
31,0.7616,0.4408,0.8932,6.55e-04
32,0.7550,0.4290,0.8800,6.43e-04
33,0.7417,0.4245,0.8700,6.31e-04
34,0.7325,0.4408,0.8869,6.20e-04
35,0.7314,0.4627,0.9116,6.08e-04
36,0.7264,0.4715,0.9208,5.96e-04
37,0.7045,0.4796,0.9276,5.84e-04
38,0.7242,0.4895,0.9358,5.72e-04
39,0.7043,0.4855,0.9315,5.60e-04
40,0.7017,0.4897,0.9340,5.48e-04
41,0.6911,0.4922,0.9355,5.36e-04
42,0.6986,0.4940,0.9367,5.24e-04
43,0.6806,0.4929,0.9366,5.12e-04
44,0.6746,0.4932,0.9370,5.00e-04
45,0.6726,0.4944,0.9386,4.87e-04
46,0.6765,0.4935,0.9381,4.75e-04
47,0.6608,0.4931,0.9379,4.63e-04
48,0.6553,0.4949,0.9392,4.51e-04
49,0.6527,0.4967,0.9403,4.38e-04
50,0.6567,0.4988,0.9417,4.26e-04
51,0.6524,0.4979,0.9413,4.14e-04
52,0.6429,0.4978,0.9417,4.01e-04
53,0.6412,0.4988,0.9428,3.89e-04
54,0.6360,0.4990,0.9430,3.76e-04
55,0.6305,0.4976,0.9417,3.64e-04
56,0.6381,0.4989,0.9430,3.51e-04
57,0.6266,0.4989,0.9430,3.38e-04
58,0.6241,0.4992,0.9434,3.26e-04
59,0.6229,0.4994,0.9435,3.13e-04
60,0.6173,0.4992,0.9434,3.00e-04
61,0.6142,0.5003,0.9444,2.87e-04
62,0.6142,0.5004,0.9446,2.74e-04
63,0.6114,0.5005,0.9445,2.61e-04
64,0.6126,0.5002,0.9443,2.48e-04
65,0.6044,0.5006,0.9443,2.35e-04
66,0.6051,0.5022,0.9451,2.22e-04
67,0.5970,0.5042,0.9455,2.08e-04
68,0.6042,0.5075,0.9459,1.95e-04
69,0.5952,0.5092,0.9463,1.81e-04
70,0.5961,0.5126,0.9469,1.68e-04
71,0.5939,0.5177,0.9476,1.54e-04
72,0.5880,0.5223,0.9481,1.40e-04
73,0.5869,0.5325,0.9496,1.26e-04
74,0.5829,0.5402,0.9507,1.12e-04
75,0.5837,0.5466,0.9516,9.72e-05
76,0.5847,0.5517,0.9523,8.25e-05
77,0.5770,0.5541,0.9526,6.75e-05
78,0.5808,0.5553,0.9527,5.21e-05
79,0.5760,0.5570,0.9530,3.62e-05
80,0.5980,0.5570,0.9530,1.94e-05
