epoch,train_loss,val_miou,val_pixel_acc,lr
1,1.4711,0.5958,0.8717,1.00e-04
2,0.8796,0.6705,0.9132,9.92e-05
3,0.7586,0.6598,0.9006,9.85e-05
4,0.6591,0.6895,0.9210,9.77e-05
5,0.6174,0.6928,0.9188,9.70e-05
6,0.5779,0.7145,0.9342,9.62e-05
7,0.5334,0.7315,0.9344,9.55e-05
8,0.4971,0.7297,0.9360,9.47e-05
9,0.4754,0.7407,0.9382,9.40e-05
10,0.4691,0.7409,0.9409,9.32e-05
11,0.4497,0.7231,0.9316,9.25e-05
12,0.4609,0.7462,0.9428,9.17e-05
13,0.4201,0.7555,0.9451,9.10e-05
14,0.4160,0.7504,0.9418,9.02e-05
15,0.3929,0.7446,0.9409,8.94e-05
16,0.3988,0.7488,0.9435,8.87e-05
17,0.3791,0.7600,0.9436,8.79e-05
18,0.3759,0.7614,0.9478,8.72e-05
19,0.3790,0.7596,0.9466,8.64e-05
20,0.3682,0.7594,0.9451,8.56e-05
21,0.3671,0.7620,0.9478,8.49e-05
22,0.3514,0.7641,0.9478,8.41e-05
23,0.3397,0.7572,0.9446,8.33e-05
24,0.3380,0.7675,0.9490,8.26e-05
25,0.3574,0.7580,0.9446,8.18e-05
26,0.3244,0.7568,0.9434,8.10e-05
27,0.3379,0.7680,0.9492,8.03e-05
28,0.3187,0.7796,0.9519,7.95e-05
29,0.3205,0.7721,0.9504,7.87e-05
30,0.3167,0.7730,0.9499,7.80e-05
31,0.3129,0.7746,0.9516,7.72e-05
32,0.3014,0.7759,0.9514,7.64e-05
33,0.2959,0.7730,0.9514,7.56e-05
34,0.2934,0.7772,0.9528,7.49e-05
35,0.2930,0.7814,0.9532,7.41e-05
36,0.2899,0.7774,0.9530,7.33e-05
37,0.2884,0.7774,0.9512,7.25e-05
38,0.2898,0.7794,0.9536,7.18e-05
39,0.2895,0.7784,0.9538,7.10e-05
40,0.2893,0.7820,0.9534,7.02e-05
41,0.2710,0.7820,0.9529,6.94e-05
42,0.2720,0.7845,0.9539,6.86e-05
43,0.2735,0.7841,0.9549,6.79e-05
44,0.2547,0.7861,0.9544,6.71e-05
45,0.2692,0.7850,0.9551,6.63e-05
46,0.2670,0.7866,0.9559,6.55e-05
47,0.2530,0.7845,0.9555,6.47e-05
48,0.2615,0.7815,0.9531,6.39e-05
49,0.2546,0.7860,0.9539,6.31e-05
50,0.2569,0.7935,0.9557,6.24e-05
51,0.2682,0.7936,0.9561,6.16e-05
52,0.2525,0.7903,0.9552,6.08e-05
53,0.2482,0.7905,0.9538,6.00e-05
54,0.2484,0.7934,0.9563,5.92e-05
55,0.2401,0.7883,0.9550,5.84e-05
56,0.2519,0.7831,0.9542,5.76e-05
57,0.2426,0.7875,0.9546,5.68e-05
58,0.2401,0.7903,0.9557,5.60e-05
59,0.2302,0.7871,0.9559,5.52e-05
60,0.2406,0.7926,0.9551,5.44e-05
61,0.2395,0.7928,0.9555,5.36e-05
62,0.2290,0.7889,0.9555,5.28e-05
63,0.2301,0.7943,0.9569,5.20e-05
64,0.2280,0.7945,0.9569,5.12e-05
65,0.2251,0.7900,0.9562,5.04e-05
66,0.2245,0.7935,0.9563,4.96e-05
67,0.2304,0.7890,0.9562,4.87e-05
68,0.2234,0.7946,0.9567,4.79e-05
69,0.2257,0.7901,0.9561,4.71e-05
70,0.2238,0.7912,0.9564,4.63e-05
71,0.2134,0.7917,0.9560,4.55e-05
72,0.2265,0.7912,0.9561,4.47e-05
73,0.2217,0.7930,0.9564,4.38e-05
74,0.2164,0.7939,0.9558,4.30e-05
75,0.2178,0.7961,0.9567,4.22e-05
76,0.2295,0.7972,0.9573,4.14e-05
77,0.2242,0.7939,0.9574,4.05e-05
78,0.2183,0.7954,0.9569,3.97e-05
79,0.2054,0.7961,0.9569,3.89e-05
80,0.2142,0.7945,0.9572,3.80e-05
81,0.2036,0.7945,0.9565,3.72e-05
82,0.2062,0.7953,0.9564,3.64e-05
83,0.2141,0.7946,0.9562,3.55e-05
84,0.2083,0.7952,0.9579,3.47e-05
85,0.2042,0.7965,0.9574,3.38e-05
86,0.2050,0.7962,0.9569,3.30e-05
87,0.2052,0.7961,0.9570,3.21e-05
88,0.2091,0.7956,0.9572,3.13e-05
89,0.2086,0.7953,0.9569,3.04e-05
90,0.2014,0.7944,0.9567,2.96e-05
91,0.2046,0.7962,0.9566,2.87e-05
92,0.1978,0.7959,0.9570,2.79e-05
93,0.1962,0.7978,0.9579,2.70e-05
94,0.1962,0.7980,0.9574,2.61e-05
95,0.1956,0.7970,0.9572,2.52e-05
96,0.2007,0.7983,0.9575,2.44e-05
97,0.1967,0.7947,0.9567,2.35e-05
98,0.1982,0.7965,0.9572,2.26e-05
99,0.2014,0.7965,0.9566,2.17e-05
100,0.2019,0.7981,0.9576,2.08e-05
101,0.2050,0.7951,0.9573,1.99e-05
102,0.2030,0.7966,0.9573,1.90e-05
103,0.1886,0.7984,0.9577,1.81e-05
104,0.1905,0.7983,0.9573,1.72e-05
105,0.1911,0.7977,0.9571,1.63e-05
106,0.1974,0.7984,0.9578,1.54e-05
107,0.1984,0.7974,0.9574,1.45e-05
108,0.1944,0.7985,0.9575,1.35e-05
109,0.1882,0.7991,0.9578,1.26e-05
110,0.1908,0.7977,0.9574,1.16e-05
111,0.1935,0.7965,0.9573,1.07e-05
112,0.1989,0.7964,0.9571,9.72e-06
113,0.1894,0.7973,0.9574,8.74e-06
114,0.1849,0.7971,0.9572,7.75e-06
115,0.1883,0.7967,0.9574,6.75e-06
116,0.1867,0.7979,0.9575,5.73e-06
117,0.1871,0.7982,0.9577,4.68e-06
118,0.1871,0.7982,0.9576,3.62e-06
119,0.1860,0.7981,0.9574,2.51e-06
120,0.1881,0.7976,0.9573,1.35e-06
