epoch,train_loss,val_miou,val_pixel_acc,lr
1,1.4289,0.6167,0.8782,1.00e-04
2,0.8728,0.6373,0.8882,9.95e-05
3,0.7387,0.6868,0.9180,9.91e-05
4,0.6727,0.6817,0.9111,9.86e-05
5,0.6189,0.7014,0.9250,9.82e-05
6,0.5889,0.7367,0.9395,9.77e-05
7,0.5332,0.7177,0.9311,9.73e-05
8,0.5080,0.7487,0.9420,9.68e-05
9,0.4816,0.7406,0.9388,9.64e-05
10,0.4700,0.7364,0.9411,9.59e-05
11,0.4597,0.7419,0.9403,9.55e-05
12,0.4355,0.7450,0.9426,9.50e-05
13,0.4306,0.7213,0.9385,9.46e-05
14,0.4326,0.7515,0.9427,9.41e-05
15,0.4184,0.7564,0.9438,9.37e-05
16,0.4087,0.7518,0.9421,9.32e-05
17,0.3805,0.7550,0.9443,9.28e-05
18,0.3761,0.7478,0.9409,9.23e-05
19,0.3675,0.7529,0.9438,9.19e-05
20,0.3672,0.7460,0.9429,9.14e-05
21,0.3629,0.7586,0.9463,9.10e-05
22,0.3423,0.7635,0.9483,9.05e-05
23,0.3473,0.7685,0.9479,9.00e-05
24,0.3360,0.7728,0.9513,8.96e-05
25,0.3202,0.7670,0.9467,8.91e-05
26,0.3177,0.7644,0.9466,8.87e-05
27,0.3496,0.7634,0.9462,8.82e-05
28,0.3494,0.7626,0.9486,8.78e-05
29,0.3120,0.7681,0.9506,8.73e-05
30,0.3201,0.7604,0.9494,8.68e-05
31,0.3175,0.7670,0.9502,8.64e-05
32,0.3143,0.7759,0.9518,8.59e-05
33,0.3014,0.7706,0.9502,8.55e-05
34,0.2979,0.7742,0.9501,8.50e-05
35,0.2874,0.7680,0.9495,8.46e-05
36,0.2843,0.7722,0.9501,8.41e-05
37,0.2795,0.7784,0.9526,8.36e-05
38,0.2807,0.7845,0.9530,8.32e-05
39,0.2859,0.7801,0.9512,8.27e-05
40,0.2720,0.7777,0.9517,8.23e-05
41,0.2837,0.7793,0.9516,8.18e-05
42,0.2806,0.7755,0.9497,8.13e-05
43,0.2661,0.7769,0.9495,8.09e-05
44,0.2775,0.7851,0.9534,8.04e-05
45,0.2749,0.7806,0.9518,8.00e-05
46,0.2626,0.7912,0.9555,7.95e-05
47,0.2685,0.7845,0.9542,7.90e-05
48,0.2600,0.7846,0.9527,7.86e-05
49,0.2556,0.7908,0.9561,7.81e-05
50,0.2546,0.7830,0.9533,7.77e-05
51,0.2516,0.7819,0.9533,7.72e-05
52,0.2516,0.7864,0.9556,7.67e-05
53,0.2431,0.7925,0.9560,7.63e-05
54,0.2413,0.7924,0.9564,7.58e-05
55,0.2506,0.7870,0.9554,7.53e-05
56,0.2532,0.7824,0.9537,7.49e-05
57,0.2387,0.7883,0.9549,7.44e-05
58,0.2423,0.7889,0.9545,7.39e-05
59,0.2438,0.7874,0.9552,7.35e-05
60,0.2367,0.7917,0.9559,7.30e-05
61,0.2251,0.7905,0.9552,7.25e-05
62,0.2229,0.7866,0.9531,7.21e-05
63,0.2263,0.7902,0.9553,7.16e-05
64,0.2339,0.7876,0.9557,7.11e-05
