epoch,train_loss,val_miou,val_pixel_acc,lr
1,0.8210,0.6548,0.9048,1.00e-04
2,0.5284,0.6739,0.9104,9.92e-05
3,0.4439,0.7106,0.9326,9.85e-05
4,0.4077,0.7206,0.9328,9.77e-05
5,0.3732,0.7231,0.9343,9.70e-05
6,0.3654,0.7435,0.9425,9.62e-05
7,0.3313,0.7314,0.9377,9.55e-05
8,0.3162,0.7570,0.9463,9.47e-05
9,0.2974,0.7615,0.9470,9.40e-05
10,0.2905,0.7540,0.9489,9.32e-05
11,0.2878,0.7275,0.9433,9.25e-05
12,0.2713,0.7578,0.9487,9.17e-05
13,0.2644,0.7538,0.9472,9.10e-05
14,0.2575,0.7667,0.9499,9.02e-05
15,0.2561,0.7539,0.9456,8.94e-05
16,0.2578,0.7626,0.9502,8.87e-05
17,0.2390,0.7715,0.9507,8.79e-05
18,0.2355,0.7567,0.9456,8.72e-05
19,0.2324,0.7699,0.9516,8.64e-05
20,0.2280,0.7601,0.9491,8.56e-05
21,0.2320,0.7728,0.9533,8.49e-05
22,0.2163,0.7755,0.9538,8.41e-05
23,0.2216,0.7747,0.9532,8.33e-05
24,0.2110,0.7682,0.9529,8.26e-05
25,0.2011,0.7771,0.9527,8.18e-05
26,0.1996,0.7798,0.9530,8.10e-05
27,0.2104,0.7705,0.9524,8.03e-05
28,0.2080,0.7807,0.9544,7.95e-05
29,0.1944,0.7783,0.9546,7.87e-05
30,0.2016,0.7764,0.9535,7.80e-05
31,0.1931,0.7756,0.9541,7.72e-05
32,0.1938,0.7817,0.9541,7.64e-05
33,0.1898,0.7803,0.9546,7.56e-05
34,0.1851,0.7874,0.9557,7.49e-05
35,0.1827,0.7828,0.9540,7.41e-05
36,0.1775,0.7833,0.9544,7.33e-05
37,0.1781,0.7848,0.9555,7.25e-05
38,0.1756,0.7870,0.9567,7.18e-05
39,0.1801,0.7909,0.9558,7.10e-05
40,0.1716,0.7836,0.9564,7.02e-05
41,0.1786,0.7857,0.9554,6.94e-05
42,0.1793,0.7825,0.9532,6.86e-05
43,0.1713,0.7843,0.9537,6.79e-05
44,0.1775,0.7850,0.9559,6.71e-05
45,0.1712,0.7879,0.9558,6.63e-05
46,0.1653,0.7930,0.9573,6.55e-05
47,0.1686,0.7846,0.9564,6.47e-05
48,0.1660,0.7922,0.9564,6.39e-05
49,0.1626,0.7878,0.9560,6.31e-05
50,0.1639,0.7880,0.9557,6.24e-05
51,0.1571,0.7866,0.9561,6.16e-05
52,0.1588,0.7885,0.9566,6.08e-05
53,0.1541,0.7936,0.9577,6.00e-05
54,0.1563,0.7940,0.9582,5.92e-05
55,0.1602,0.7903,0.9570,5.84e-05
56,0.1594,0.7883,0.9565,5.76e-05
57,0.1527,0.7930,0.9566,5.68e-05
58,0.1544,0.7935,0.9571,5.60e-05
59,0.1584,0.7899,0.9570,5.52e-05
60,0.1538,0.7941,0.9572,5.44e-05
61,0.1450,0.7925,0.9576,5.36e-05
62,0.1430,0.7937,0.9566,5.28e-05
63,0.1484,0.7945,0.9572,5.20e-05
64,0.1501,0.7894,0.9563,5.12e-05
65,0.1507,0.7940,0.9579,5.04e-05
66,0.1450,0.7925,0.9574,4.96e-05
67,0.1456,0.7899,0.9580,4.87e-05
68,0.1424,0.7889,0.9567,4.79e-05
69,0.1432,0.7913,0.9574,4.71e-05
70,0.1409,0.7911,0.9570,4.63e-05
71,0.1444,0.7926,0.9577,4.55e-05
72,0.1375,0.7954,0.9572,4.47e-05
73,0.1388,0.7887,0.9575,4.38e-05
74,0.1386,0.7913,0.9573,4.30e-05
75,0.1404,0.7931,0.9570,4.22e-05
76,0.1434,0.7905,0.9561,4.14e-05
77,0.1394,0.7908,0.9573,4.05e-05
78,0.1350,0.7916,0.9571,3.97e-05
79,0.1322,0.7906,0.9569,3.89e-05
80,0.1317,0.7907,0.9581,3.80e-05
81,0.1348,0.7943,0.9581,3.72e-05
82,0.1331,0.7942,0.9575,3.64e-05
83,0.1276,0.7942,0.9576,3.55e-05
84,0.1331,0.7952,0.9575,3.47e-05
85,0.1321,0.7897,0.9563,3.38e-05
86,0.1359,0.7939,0.9574,3.30e-05
87,0.1294,0.7909,0.9573,3.21e-05
88,0.1412,0.7916,0.9570,3.13e-05
89,0.1355,0.7918,0.9570,3.04e-05
90,0.1329,0.7927,0.9568,2.96e-05
91,0.1333,0.7938,0.9568,2.87e-05
92,0.1335,0.7913,0.9557,2.79e-05
93,0.1246,0.7952,0.9580,2.70e-05
94,0.1276,0.7952,0.9571,2.61e-05
95,0.1282,0.7981,0.9578,2.52e-05
96,0.1284,0.7943,0.9569,2.44e-05
97,0.1301,0.7933,0.9572,2.35e-05
98,0.1266,0.7928,0.9563,2.26e-05
99,0.1252,0.7955,0.9574,2.17e-05
100,0.1245,0.7966,0.9579,2.08e-05
101,0.1285,0.7948,0.9571,1.99e-05
102,0.1244,0.7940,0.9567,1.90e-05
103,0.1268,0.7944,0.9573,1.81e-05
104,0.1225,0.7957,0.9575,1.72e-05
105,0.1239,0.7951,0.9573,1.63e-05
106,0.1291,0.7960,0.9574,1.54e-05
107,0.1231,0.7929,0.9566,1.45e-05
108,0.1220,0.7942,0.9571,1.35e-05
109,0.1217,0.7961,0.9576,1.26e-05
110,0.1207,0.7962,0.9577,1.16e-05
111,0.1235,0.7940,0.9573,1.07e-05
112,0.1215,0.7949,0.9573,9.72e-06
113,0.1213,0.7954,0.9575,8.74e-06
114,0.1199,0.7958,0.9577,7.75e-06
115,0.1208,0.7957,0.9579,6.75e-06
116,0.1170,0.7950,0.9577,5.73e-06
117,0.1212,0.7956,0.9576,4.68e-06
118,0.1208,0.7957,0.9576,3.62e-06
119,0.1205,0.7958,0.9576,2.51e-06
120,0.1237,0.7958,0.9577,1.35e-06
