epoch,train_loss,val_miou,val_pixel_acc,lr
1,2.5288,0.4113,0.7432,3.00e-04
2,1.7941,0.4687,0.7173,2.98e-04
3,1.4114,0.5449,0.8208,2.95e-04
4,1.1813,0.5892,0.8576,2.93e-04
5,1.0128,0.5885,0.8484,2.91e-04
6,0.8949,0.6356,0.8779,2.89e-04
7,0.8246,0.6196,0.8865,2.86e-04
8,0.7572,0.6324,0.8915,2.84e-04
9,0.6911,0.6567,0.9014,2.82e-04
10,0.7209,0.6315,0.8805,2.80e-04
11,0.6961,0.6545,0.8959,2.77e-04
12,0.6447,0.6445,0.8965,2.75e-04
13,0.6407,0.6816,0.9093,2.73e-04
14,0.5881,0.6901,0.9176,2.71e-04
15,0.5190,0.6875,0.9099,2.68e-04
16,0.5007,0.6948,0.9158,2.66e-04
17,0.4856,0.7134,0.9305,2.64e-04
18,0.4385,0.7180,0.9309,2.61e-04
19,0.4340,0.7151,0.9273,2.59e-04
20,0.4175,0.7234,0.9349,2.57e-04
21,0.4420,0.7062,0.9307,2.55e-04
22,0.3967,0.7011,0.9209,2.52e-04
23,0.4085,0.7185,0.9336,2.50e-04
24,0.4036,0.7301,0.9337,2.48e-04
25,0.4111,0.7386,0.9390,2.45e-04
26,0.3727,0.7352,0.9371,2.43e-04
27,0.3640,0.7181,0.9293,2.41e-04
28,0.3795,0.7211,0.9306,2.39e-04
29,0.3538,0.7352,0.9412,2.36e-04
30,0.3224,0.7375,0.9387,2.34e-04
31,0.3322,0.7278,0.9365,2.32e-04
32,0.3455,0.7368,0.9360,2.29e-04
33,0.3352,0.7368,0.9385,2.27e-04
34,0.3388,0.7353,0.9360,2.25e-04
35,0.3100,0.7318,0.9362,2.22e-04
36,0.3180,0.7468,0.9421,2.20e-04
37,0.2981,0.7439,0.9409,2.18e-04
38,0.2777,0.7492,0.9390,2.15e-04
39,0.2965,0.7260,0.9342,2.13e-04
40,0.2953,0.7415,0.9366,2.11e-04
41,0.2834,0.7476,0.9415,2.08e-04
42,0.2820,0.7336,0.9358,2.06e-04
43,0.2846,0.7291,0.9348,2.04e-04
44,0.2815,0.7359,0.9389,2.01e-04
45,0.2721,0.7406,0.9371,1.99e-04
46,0.2893,0.7407,0.9369,1.97e-04
47,0.2992,0.7372,0.9354,1.94e-04
48,0.2703,0.7453,0.9414,1.92e-04
49,0.2543,0.7371,0.9357,1.89e-04
50,0.2513,0.7414,0.9394,1.87e-04
51,0.2424,0.7366,0.9387,1.85e-04
52,0.2497,0.7320,0.9362,1.82e-04
53,0.2470,0.7206,0.9352,1.80e-04
54,0.2402,0.7480,0.9445,1.78e-04
55,0.2287,0.7555,0.9443,1.75e-04
56,0.2299,0.7362,0.9376,1.73e-04
57,0.2880,0.7276,0.9323,1.70e-04
58,0.2433,0.7379,0.9378,1.68e-04
59,0.2208,0.7480,0.9433,1.66e-04
60,0.2306,0.7484,0.9432,1.63e-04
61,0.2097,0.7486,0.9412,1.61e-04
62,0.2106,0.7505,0.9438,1.58e-04
63,0.1938,0.7506,0.9433,1.56e-04
64,0.2048,0.7533,0.9441,1.54e-04
65,0.1988,0.7522,0.9421,1.51e-04
66,0.2044,0.7423,0.9415,1.49e-04
67,0.1980,0.7515,0.9432,1.46e-04
68,0.1892,0.7537,0.9453,1.44e-04
69,0.1905,0.7513,0.9432,1.41e-04
70,0.1872,0.7561,0.9448,1.39e-04
71,0.1926,0.7552,0.9463,1.36e-04
72,0.1865,0.7525,0.9438,1.34e-04
73,0.2006,0.7400,0.9394,1.32e-04
74,0.1942,0.7435,0.9413,1.29e-04
75,0.1932,0.7453,0.9423,1.27e-04
76,0.1933,0.7459,0.9433,1.24e-04
77,0.1840,0.7477,0.9433,1.22e-04
78,0.1736,0.7451,0.9423,1.19e-04
79,0.1720,0.7481,0.9436,1.17e-04
80,0.1868,0.7129,0.9326,1.14e-04
81,0.1906,0.7463,0.9424,1.12e-04
82,0.1959,0.7346,0.9387,1.09e-04
83,0.1789,0.7417,0.9433,1.07e-04
84,0.1723,0.7422,0.9408,1.04e-04
85,0.1683,0.7462,0.9426,1.02e-04
86,0.1709,0.7518,0.9433,9.90e-05
87,0.1809,0.7441,0.9411,9.64e-05
88,0.1840,0.7471,0.9421,9.39e-05
89,0.1597,0.7475,0.9432,9.13e-05
90,0.1635,0.7473,0.9426,8.87e-05
91,0.1561,0.7511,0.9430,8.62e-05
92,0.1604,0.7486,0.9441,8.36e-05
93,0.1529,0.7523,0.9454,8.10e-05
94,0.1610,0.7462,0.9434,7.84e-05
95,0.1573,0.7500,0.9449,7.57e-05
96,0.1570,0.7460,0.9420,7.31e-05
97,0.1532,0.7567,0.9446,7.05e-05
98,0.1506,0.7517,0.9452,6.78e-05
99,0.1528,0.7547,0.9441,6.52e-05
100,0.1499,0.7516,0.9445,6.25e-05
101,0.1484,0.7533,0.9445,5.98e-05
102,0.1688,0.7375,0.9407,5.71e-05
103,0.1522,0.7422,0.9423,5.44e-05
104,0.1476,0.7410,0.9416,5.17e-05
105,0.1442,0.7463,0.9434,4.89e-05
106,0.1515,0.7454,0.9432,4.62e-05
107,0.1408,0.7471,0.9432,4.34e-05
108,0.1460,0.7478,0.9433,4.06e-05
109,0.1442,0.7437,0.9424,3.78e-05
110,0.1368,0.7477,0.9436,3.49e-05
111,0.1348,0.7470,0.9426,3.21e-05
112,0.1350,0.7461,0.9433,2.92e-05
113,0.1355,0.7389,0.9425,2.62e-05
114,0.1318,0.7421,0.9430,2.33e-05
115,0.1325,0.7389,0.9420,2.02e-05
116,0.1347,0.7404,0.9425,1.72e-05
117,0.1319,0.7423,0.9429,1.41e-05
118,0.1320,0.7411,0.9428,1.08e-05
119,0.1362,0.7431,0.9432,7.53e-06
120,0.1315,0.7413,0.9430,4.04e-06
