epoch,train_loss,val_miou,val_pixel_acc,lr
1,2.4481,0.3752,0.6974,3.00e-04
2,1.6844,0.5069,0.8001,2.98e-04
3,1.3577,0.5453,0.8246,2.95e-04
4,1.1217,0.5513,0.8265,2.93e-04
5,1.0342,0.5895,0.8521,2.91e-04
6,0.9035,0.5704,0.8508,2.89e-04
7,0.8577,0.5816,0.8634,2.86e-04
8,0.7514,0.6783,0.9079,2.84e-04
9,0.7189,0.6328,0.8759,2.82e-04
10,0.6970,0.6533,0.8935,2.80e-04
11,0.6212,0.6744,0.9088,2.77e-04
12,0.6023,0.7180,0.9299,2.75e-04
13,0.5602,0.6669,0.9097,2.73e-04
14,0.6793,0.7004,0.9223,2.71e-04
15,0.5613,0.6931,0.9153,2.68e-04
16,0.5327,0.6925,0.9122,2.66e-04
17,0.5316,0.6551,0.8993,2.64e-04
18,0.4985,0.6851,0.9201,2.61e-04
19,0.4677,0.6968,0.9148,2.59e-04
20,0.4816,0.7274,0.9321,2.57e-04
21,0.4608,0.7290,0.9322,2.55e-04
22,0.4324,0.6957,0.9272,2.52e-04
23,0.3927,0.7426,0.9351,2.50e-04
24,0.3947,0.7271,0.9318,2.48e-04
25,0.3588,0.7427,0.9382,2.45e-04
26,0.3570,0.7312,0.9346,2.43e-04
27,0.3617,0.7394,0.9350,2.41e-04
28,0.3615,0.7474,0.9385,2.39e-04
29,0.3508,0.7470,0.9368,2.36e-04
30,0.3260,0.7407,0.9355,2.34e-04
31,0.3278,0.7497,0.9349,2.32e-04
32,0.3314,0.7428,0.9410,2.29e-04
33,0.3268,0.7536,0.9445,2.27e-04
34,0.3141,0.7502,0.9396,2.25e-04
35,0.3135,0.7604,0.9430,2.22e-04
36,0.2838,0.7441,0.9369,2.20e-04
37,0.2838,0.7520,0.9406,2.18e-04
38,0.2811,0.7593,0.9413,2.15e-04
39,0.2886,0.7479,0.9376,2.13e-04
40,0.3107,0.7341,0.9365,2.11e-04
41,0.2974,0.7520,0.9399,2.08e-04
42,0.2758,0.7659,0.9452,2.06e-04
43,0.2835,0.7456,0.9403,2.04e-04
44,0.2722,0.7520,0.9440,2.01e-04
45,0.2594,0.7531,0.9399,1.99e-04
46,0.2727,0.7335,0.9362,1.97e-04
47,0.2729,0.7435,0.9419,1.94e-04
48,0.2787,0.7367,0.9363,1.92e-04
49,0.2507,0.7547,0.9438,1.89e-04
50,0.2634,0.7288,0.9355,1.87e-04
51,0.2769,0.7114,0.9358,1.85e-04
52,0.2513,0.7444,0.9413,1.82e-04
