epoch,train_loss,val_miou,val_pixel_acc,lr
1,1.3983,0.4174,0.7899,3.00e-04
2,1.0099,0.4620,0.7469,2.98e-04
3,0.8103,0.5297,0.8382,2.95e-04
4,0.6826,0.5479,0.8465,2.93e-04
5,0.6169,0.6261,0.8941,2.91e-04
6,0.5648,0.6281,0.8763,2.89e-04
7,0.5009,0.6432,0.8906,2.86e-04
8,0.4784,0.6744,0.9069,2.84e-04
9,0.4349,0.6631,0.9084,2.82e-04
10,0.4509,0.6664,0.9155,2.80e-04
11,0.4223,0.6714,0.8995,2.77e-04
12,0.3775,0.6965,0.9099,2.75e-04
13,0.3586,0.7200,0.9279,2.73e-04
14,0.3483,0.6988,0.9246,2.71e-04
15,0.3177,0.7162,0.9291,2.68e-04
16,0.3100,0.7286,0.9336,2.66e-04
17,0.3010,0.7326,0.9387,2.64e-04
18,0.2747,0.7265,0.9339,2.61e-04
19,0.2757,0.7143,0.9357,2.59e-04
20,0.2669,0.6924,0.9280,2.57e-04
21,0.3099,0.6522,0.9035,2.55e-04
22,0.2685,0.7406,0.9417,2.52e-04
23,0.2640,0.7359,0.9392,2.50e-04
24,0.2427,0.7421,0.9469,2.48e-04
25,0.2484,0.7228,0.9375,2.45e-04
26,0.2278,0.7338,0.9442,2.43e-04
27,0.2178,0.7485,0.9470,2.41e-04
28,0.2287,0.7096,0.9322,2.39e-04
29,0.2208,0.7158,0.9436,2.36e-04
30,0.2045,0.7318,0.9404,2.34e-04
31,0.2032,0.7010,0.9331,2.32e-04
32,0.2085,0.7061,0.9354,2.29e-04
33,0.2104,0.7434,0.9445,2.27e-04
34,0.1985,0.7331,0.9399,2.25e-04
35,0.1925,0.7553,0.9435,2.22e-04
36,0.2041,0.7554,0.9479,2.20e-04
37,0.1903,0.7266,0.9392,2.18e-04
38,0.1819,0.7390,0.9405,2.15e-04
39,0.1754,0.7487,0.9418,2.13e-04
40,0.1706,0.7511,0.9410,2.11e-04
41,0.1722,0.7517,0.9461,2.08e-04
42,0.1900,0.7334,0.9384,2.06e-04
43,0.2365,0.6923,0.9280,2.04e-04
44,0.2479,0.7319,0.9358,2.01e-04
45,0.2101,0.7506,0.9390,1.99e-04
46,0.1818,0.7535,0.9438,1.97e-04
47,0.1784,0.7490,0.9409,1.94e-04
48,0.1682,0.7498,0.9448,1.92e-04
49,0.1623,0.7466,0.9429,1.89e-04
50,0.1623,0.7488,0.9457,1.87e-04
51,0.1517,0.7625,0.9478,1.85e-04
52,0.1543,0.7543,0.9441,1.82e-04
53,0.1446,0.7630,0.9470,1.80e-04
54,0.1432,0.7577,0.9469,1.78e-04
55,0.1379,0.7572,0.9460,1.75e-04
56,0.1378,0.7573,0.9439,1.73e-04
57,0.1494,0.7550,0.9450,1.70e-04
58,0.1336,0.7565,0.9428,1.68e-04
59,0.1360,0.7544,0.9427,1.66e-04
60,0.1382,0.7538,0.9448,1.63e-04
61,0.1312,0.7573,0.9404,1.61e-04
62,0.1303,0.7553,0.9438,1.58e-04
63,0.1206,0.7589,0.9434,1.56e-04
64,0.1256,0.7623,0.9460,1.54e-04
65,0.1308,0.7290,0.9393,1.51e-04
66,0.1410,0.7440,0.9427,1.49e-04
67,0.1299,0.7443,0.9452,1.46e-04
